                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0777,                 3.8363,                  2.056,                 1.3806,                0.72397,                  0.875,                0.82762,                0.58634,                0.72397,                  0.875,                0.82762,                0.56663,                0.99926,                0.33461,                 1.4785,                 1.3375,                 0.0757,                 0.0027,                 0.0027
                      1,                 1.0681,                 1.1876,                0.99002,                 1.3272,                0.99455,                0.91667,                0.98762,                 0.7733,                0.99455,                0.91667,                0.98762,                0.76198,                0.81263,                0.29796,                 0.7248,                 1.0967,               0.050446,              0.0054456,              0.0054456
                      2,                 1.0854,                 1.0525,                 1.3557,                 1.2676,                0.96194,                0.08333,                0.29183,                0.20987,                0.96194,                0.08333,                0.29183,                0.21165,                0.86539,                0.29297,                 2.7075,                 1.0387,               0.025136,              0.0081357,              0.0081357
                      3,                 1.0689,                0.89779,                   1.75,                 1.2355,                0.00485,                      1,                0.32571,                0.23671,                0.00485,                      1,                0.32571,                0.22816,                 0.8308,                 0.3156,                  3.065,                0.98015,               0.009703,               0.009703,               0.009703
                      4,                0.97945,                0.78709,                 1.4684,                 1.1858,                0.65081,                      1,                  0.995,                0.78075,                0.65081,                      1,                  0.995,                0.75939,                0.75153,                0.28597,                 3.5464,                  0.942,               0.009703,               0.009703,               0.009703
                      5,                0.98113,                 1.1845,                 1.0767,                 1.1957,                0.97648,                      1,                  0.995,                0.73326,                0.97648,                      1,                  0.995,                0.71515,                0.90997,                0.35081,                 1.7379,                 1.0213,               0.009604,               0.009604,               0.009604
                      6,                 1.1686,                0.99612,                 1.0844,                 1.2034,                0.99547,                      1,                  0.995,                0.76869,                0.99547,                      1,                  0.995,                 0.7376,                0.88981,                0.34542,                0.53356,                 1.0132,               0.009505,               0.009505,               0.009505
                      7,                 1.1973,                0.73157,                0.89248,                 1.2149,                0.99433,                      1,                  0.995,                0.68588,                0.99433,                      1,                  0.995,                0.66162,                 1.0364,                 0.3083,                0.51204,                 1.0362,               0.009406,               0.009406,               0.009406
                      8,                 1.2128,                0.76633,                0.98115,                 1.2601,                0.99652,                      1,                  0.995,                0.79913,                0.99652,                      1,                  0.995,                0.79485,                 0.7937,                0.27677,                 0.4328,                0.94166,               0.009307,               0.009307,               0.009307
                      9,                 1.0713,                 1.2534,                 0.8649,                  1.169,                 0.9966,                      1,                  0.995,                0.75186,                 0.9966,                      1,                  0.995,                0.77574,                0.81402,                0.36744,                0.72556,                0.96862,               0.009208,               0.009208,               0.009208
                     10,                 1.0327,                0.84201,                0.85203,                 1.1592,                0.99652,                      1,                  0.995,                0.79213,                0.99652,                      1,                  0.995,                0.78918,                0.84408,                0.33409,                0.44643,                0.96941,               0.009109,               0.009109,               0.009109
                     11,                 1.1609,                 1.0074,                0.83886,                 1.1854,                0.99696,                      1,                  0.995,                  0.719,                0.99696,                      1,                  0.995,                0.73234,                 1.0395,                0.25703,                0.50173,                 1.0577,                0.00901,                0.00901,                0.00901
                     12,                 1.1433,                0.78363,                0.92311,                    1.2,                0.99668,                      1,                  0.995,                0.73089,                0.99668,                      1,                  0.995,                 0.7085,                0.94932,                0.26491,                0.63782,                 1.0426,               0.008911,               0.008911,               0.008911
                     13,                 1.0505,                0.72445,                 0.7915,                 1.1677,                0.99722,                      1,                  0.995,                0.71721,                0.99722,                      1,                  0.995,                0.70681,                0.95036,                0.27799,                0.71623,                 1.0063,               0.008812,               0.008812,               0.008812
                     14,                 1.1569,                0.80211,                  0.798,                 1.2501,                      1,                0.99891,                  0.995,                0.74435,                      1,                0.99891,                  0.995,                0.76227,                 0.8817,                0.25905,                0.49423,                0.97067,               0.008713,               0.008713,               0.008713
                     15,                 1.0335,                 1.1213,                0.73861,                 1.2197,                0.95483,                      1,                 0.9934,                0.74758,                0.95483,                      1,                 0.9934,                0.72779,                0.96729,                0.34194,                0.55781,                 1.0384,               0.008614,               0.008614,               0.008614
                     16,                 1.1108,                0.89439,                0.71027,                 1.2595,                 0.9548,                      1,                 0.9586,                0.75251,                 0.9548,                      1,                 0.9586,                0.75574,                0.85215,                0.28221,                0.55024,                0.96552,               0.008515,               0.008515,               0.008515
                     17,                 1.1304,                0.51786,                0.74117,                 1.2505,                0.99677,                      1,                  0.995,                0.77612,                0.99677,                      1,                  0.995,                 0.7638,                0.87652,                0.23934,                0.49889,                 1.0065,               0.008416,               0.008416,               0.008416
                     18,                 1.0227,                0.88205,                0.67344,                 1.1807,                0.99652,                      1,                  0.995,                0.76343,                0.99652,                      1,                  0.995,                0.73213,                0.83467,                0.25593,                0.59471,                 1.0184,               0.008317,               0.008317,               0.008317
                     19,                 1.0616,                0.63286,                0.70792,                 1.1982,                0.99642,                      1,                  0.995,                0.79494,                0.99642,                      1,                  0.995,                0.79335,                0.82916,                0.25564,                0.45227,                0.94928,               0.008218,               0.008218,               0.008218
                     20,                 1.0197,                 1.1522,                0.73987,                 1.2161,                0.99718,                      1,                  0.995,                0.81888,                0.99718,                      1,                  0.995,                0.81787,                0.75245,                0.23455,                0.45539,                0.92839,               0.008119,               0.008119,               0.008119
                     21,                0.96946,                0.54403,                0.67278,                 1.1947,                0.99651,                      1,                  0.995,                0.83537,                0.99651,                      1,                  0.995,                0.80719,                0.72519,                0.20237,                0.46079,                0.93835,                0.00802,                0.00802,                0.00802
                     22,                 1.0192,                0.82153,                0.69555,                 1.2154,                0.99694,                      1,                  0.995,                0.84449,                0.99694,                      1,                  0.995,                 0.7885,                0.73749,                0.21955,                0.45244,                0.95742,               0.007921,               0.007921,               0.007921
                     23,                0.95417,                0.53529,                0.65409,                 1.1756,                0.99719,                      1,                  0.995,                0.81936,                0.99719,                      1,                  0.995,                0.80302,                0.71795,                0.21904,                0.48425,                 0.9301,               0.007822,               0.007822,               0.007822
                     24,                0.96766,                0.81964,                0.68956,                 1.1579,                0.99585,                      1,                  0.995,                0.81751,                0.99585,                      1,                  0.995,                0.79506,                 0.7793,                0.20848,                0.51401,                0.94917,               0.007723,               0.007723,               0.007723
                     25,                 1.0049,                 0.5085,                0.67885,                 1.2192,                0.99373,                      1,                  0.995,                0.79124,                0.99373,                      1,                  0.995,                0.73958,                 0.8367,                0.22721,                 0.5243,                0.98383,               0.007624,               0.007624,               0.007624
                     26,                0.99893,                0.79862,                0.68486,                 1.2075,                0.99595,                      1,                  0.995,                0.80072,                0.99595,                      1,                  0.995,                0.75286,                0.77618,                0.23313,                0.44798,                0.95064,               0.007525,               0.007525,               0.007525
                     27,                 1.0345,                0.62051,                0.72572,                 1.2251,                0.99748,                      1,                  0.995,                0.80616,                0.99748,                      1,                  0.995,                0.77276,                0.74073,                0.22122,                0.47363,                0.96009,               0.007426,               0.007426,               0.007426
                     28,                0.93414,                0.80026,                0.62484,                 1.1472,                0.99719,                      1,                  0.995,                0.82853,                0.99719,                      1,                  0.995,                 0.7951,                0.74099,                0.21377,                0.40649,                 0.9485,               0.007327,               0.007327,               0.007327
                     29,                 0.9215,                0.54434,                0.63726,                 1.1477,                0.99731,                      1,                  0.995,                  0.785,                0.99731,                      1,                  0.995,                0.79508,                0.80623,                0.25632,                0.49502,                0.96855,               0.007228,               0.007228,               0.007228
                     30,                0.95436,                 0.8995,                 0.6335,                  1.173,                0.99687,                      1,                  0.995,                0.80197,                0.99687,                      1,                  0.995,                 0.7668,                0.79696,                0.32767,                 0.4673,                0.97088,               0.007129,               0.007129,               0.007129
                     31,                0.98388,                0.97947,                0.70281,                 1.1917,                0.99049,                      1,                  0.995,                0.76245,                0.99049,                      1,                  0.995,                0.75409,                0.86505,                 0.2315,                 0.5059,                 1.0345,                0.00703,                0.00703,                0.00703
                     32,                0.98203,                0.66653,                0.69754,                 1.2037,                0.99738,                      1,                  0.995,                0.78735,                0.99738,                      1,                  0.995,                0.76602,                0.86961,                0.22812,                0.45627,                 1.0368,               0.006931,               0.006931,               0.006931
                     33,                0.94986,                0.55131,                0.65824,                 1.1828,                0.99678,                      1,                  0.995,                0.81697,                0.99678,                      1,                  0.995,                0.77209,                0.72109,                  0.196,                0.42836,                0.96013,               0.006832,               0.006832,               0.006832
                     34,                0.87552,                0.59936,                0.57252,                 1.1445,                 0.9969,                      1,                  0.995,                 0.8284,                 0.9969,                      1,                  0.995,                  0.801,                0.71211,                0.19682,                0.42673,                0.96652,               0.006733,               0.006733,               0.006733
                     35,                0.91916,                0.85269,                0.61722,                 1.1635,                0.99684,                      1,                  0.995,                 0.8177,                0.99684,                      1,                  0.995,                0.76291,                0.70191,                0.20997,                0.39744,                0.96642,               0.006634,               0.006634,               0.006634
                     36,                 0.8541,                0.79564,                0.58458,                 1.1524,                0.99718,                      1,                  0.995,                0.83125,                0.99718,                      1,                  0.995,                0.81328,                  0.694,                0.21317,                0.39032,                 0.9443,               0.006535,               0.006535,               0.006535
                     37,                0.85212,                0.57834,                0.51909,                 1.1225,                0.99737,                      1,                  0.995,                0.83482,                0.99737,                      1,                  0.995,                0.82959,                0.68312,                0.21877,                 0.3931,                0.94228,               0.006436,               0.006436,               0.006436
                     38,                0.94589,                0.63666,                0.61027,                 1.2091,                0.99736,                      1,                  0.995,                 0.8091,                0.99736,                      1,                  0.995,                0.78525,                0.73305,                0.22009,                0.40566,                0.99248,               0.006337,               0.006337,               0.006337
                     39,                 0.8416,                  0.547,                0.60547,                 1.1101,                  0.997,                      1,                  0.995,                0.85488,                  0.997,                      1,                  0.995,                0.80984,                0.64197,                0.21411,                0.38019,                0.92605,               0.006238,               0.006238,               0.006238
                     40,                0.89865,                0.79384,                 0.6028,                 1.1822,                0.99738,                      1,                  0.995,                0.84161,                0.99738,                      1,                  0.995,                0.81862,                0.64356,                0.24021,                0.39395,                0.92338,               0.006139,               0.006139,               0.006139
                     41,                 0.8432,                0.65418,                0.55581,                 1.1251,                0.99666,                      1,                  0.995,                0.85582,                0.99666,                      1,                  0.995,                0.83163,                0.62602,                0.20252,                0.37858,                0.92513,                0.00604,                0.00604,                0.00604
                     42,                 0.8763,                0.65143,                0.54033,                 1.1399,                0.99708,                      1,                  0.995,                0.87729,                0.99708,                      1,                  0.995,                0.85801,                0.59631,                0.19538,                0.34655,                0.91192,               0.005941,               0.005941,               0.005941
                     43,                0.88448,                0.57853,                0.55092,                 1.1776,                0.99722,                      1,                  0.995,                0.84735,                0.99722,                      1,                  0.995,                0.78158,                0.62496,                 0.2025,                0.37692,                0.93862,               0.005842,               0.005842,               0.005842
                     44,                0.97043,                0.54864,                 0.6275,                 1.2186,                0.99748,                      1,                  0.995,                0.87054,                0.99748,                      1,                  0.995,                0.83577,                0.59242,                0.19074,                0.35702,                0.92147,               0.005743,               0.005743,               0.005743
                     45,                0.86974,                 0.4645,                0.55788,                 1.1398,                0.99728,                      1,                  0.995,                0.85365,                0.99728,                      1,                  0.995,                0.83375,                0.63541,                0.21016,                0.34045,                0.93786,               0.005644,               0.005644,               0.005644
                     46,                0.79016,                0.49514,                0.51073,                 1.1185,                0.99756,                      1,                  0.995,                0.86227,                0.99756,                      1,                  0.995,                  0.827,                0.63471,                0.20302,                0.32894,                0.93952,               0.005545,               0.005545,               0.005545
                     47,                0.90427,                0.97007,                0.52867,                 1.1796,                 0.9975,                      1,                  0.995,                0.82788,                 0.9975,                      1,                  0.995,                0.80571,                0.71313,                0.19826,                0.34603,                0.96998,               0.005446,               0.005446,               0.005446
                     48,                 0.9212,                0.50776,                0.57639,                 1.2098,                0.99704,                      1,                  0.995,                0.86933,                0.99704,                      1,                  0.995,                0.84269,                0.62397,                0.19372,                0.35432,                0.93407,               0.005347,               0.005347,               0.005347
                     49,                0.83728,                0.64003,                0.50473,                 1.1378,                0.99702,                      1,                  0.995,                 0.8411,                0.99702,                      1,                  0.995,                0.86661,                0.62932,                0.18923,                0.36771,                0.93487,               0.005248,               0.005248,               0.005248
                     50,                0.78825,                0.51919,                0.54195,                 1.0933,                0.99647,                      1,                  0.995,                0.85116,                0.99647,                      1,                  0.995,                0.82365,                0.66693,                0.19049,                0.37229,                0.95491,               0.005149,               0.005149,               0.005149
                     51,                0.90278,                0.62755,                0.58123,                 1.2058,                0.99228,                      1,                  0.995,                0.84356,                0.99228,                      1,                  0.995,                 0.7848,                0.69283,                0.20167,                0.37903,                 0.9759,                0.00505,                0.00505,                0.00505
                     52,                0.86196,                 1.0013,                0.56147,                 1.1369,                0.99218,                      1,                  0.995,                 0.8317,                0.99218,                      1,                  0.995,                0.79737,                0.67142,                0.20739,                0.38052,                0.96647,               0.004951,               0.004951,               0.004951
                     53,                0.80137,                0.74428,                0.49999,                  1.094,                0.99408,                      1,                  0.995,                 0.8398,                0.99408,                      1,                  0.995,                0.78568,                  0.678,                0.20057,                0.37983,                0.95634,               0.004852,               0.004852,               0.004852
                     54,                0.85822,                0.85097,                0.53117,                  1.104,                0.99235,                      1,                  0.995,                0.83723,                0.99235,                      1,                  0.995,                0.78968,                0.66354,                0.20367,                0.37253,                0.96092,               0.004753,               0.004753,               0.004753
                     55,                0.83048,                0.79418,                0.54559,                  1.133,                0.98958,                      1,                  0.995,                0.82915,                0.98958,                      1,                  0.995,                0.77679,                0.66511,                0.20843,                0.34627,                0.97951,               0.004654,               0.004654,               0.004654
                     56,                 0.8091,                0.47892,                0.52903,                 1.1178,                0.99264,                      1,                  0.995,                0.82431,                0.99264,                      1,                  0.995,                0.78848,                0.65648,                0.20002,                0.34818,                0.94469,               0.004555,               0.004555,               0.004555
                     57,                0.83512,                0.48205,                0.53012,                 1.1302,                0.99169,                      1,                  0.995,                0.83198,                0.99169,                      1,                  0.995,                 0.8001,                0.67008,                0.19907,                 0.3644,                0.95585,               0.004456,               0.004456,               0.004456
                     58,                0.80588,                0.71849,                 0.5341,                 1.1185,                0.99413,                      1,                  0.995,                0.82799,                0.99413,                      1,                  0.995,                0.80611,                0.67415,                0.20506,                 0.3554,                 0.9641,               0.004357,               0.004357,               0.004357
                     59,                0.85822,                0.53665,                0.55286,                 1.1426,                0.99619,                      1,                  0.995,                0.83699,                0.99619,                      1,                  0.995,                0.80327,                0.67158,                0.20354,                0.35799,                0.95367,               0.004258,               0.004258,               0.004258
                     60,                  0.858,                0.68834,                0.53439,                 1.1291,                0.99757,                      1,                  0.995,                0.84659,                0.99757,                      1,                  0.995,                0.82482,                0.64619,                0.21258,                0.34223,                0.92185,               0.004159,               0.004159,               0.004159
                     61,                0.77196,                0.47337,                0.50846,                 1.1018,                0.99772,                      1,                  0.995,                0.86557,                0.99772,                      1,                  0.995,                0.82155,                0.62697,                0.19344,                0.33205,                   0.91,                0.00406,                0.00406,                0.00406
                     62,                  0.752,                0.50397,                0.48703,                 1.0776,                0.99772,                      1,                  0.995,                0.87657,                0.99772,                      1,                  0.995,                 0.8337,                0.57537,                0.19354,                0.32634,                0.88695,               0.003961,               0.003961,               0.003961
                     63,                0.73044,                 0.3939,                 0.4764,                 1.0704,                0.99768,                      1,                  0.995,                  0.873,                0.99768,                      1,                  0.995,                0.82704,                0.55502,                0.18226,                0.30132,                0.88383,               0.003862,               0.003862,               0.003862
                     64,                0.76033,                0.84236,                0.49017,                 1.1159,                0.99757,                      1,                  0.995,                0.87398,                0.99757,                      1,                  0.995,                0.85335,                0.55726,                0.17453,                0.31128,                0.87792,               0.003763,               0.003763,               0.003763
                     65,                0.69895,                 0.5845,                0.42301,                 1.0873,                0.99757,                      1,                  0.995,                0.85788,                0.99757,                      1,                  0.995,                0.84764,                0.55976,                0.17677,                0.31186,                0.87086,               0.003664,               0.003664,               0.003664
                     66,                0.76643,                0.49665,                0.47902,                  1.096,                0.99749,                      1,                  0.995,                0.86623,                0.99749,                      1,                  0.995,                0.85795,                0.58582,                0.17708,                0.32232,                0.87956,               0.003565,               0.003565,               0.003565
                     67,                0.74663,                 0.8049,                0.47196,                 1.0792,                0.99749,                      1,                  0.995,                0.87382,                0.99749,                      1,                  0.995,                0.85849,                 0.5527,                0.17612,                0.33887,                0.88056,               0.003466,               0.003466,               0.003466
                     68,                0.76511,                 0.6435,                0.50755,                 1.1019,                0.99756,                      1,                  0.995,                0.87723,                0.99756,                      1,                  0.995,                0.84857,                0.52384,                0.17426,                0.35111,                0.88143,               0.003367,               0.003367,               0.003367
                     69,                0.78039,                 0.4882,                 0.5204,                  1.108,                0.99756,                      1,                  0.995,                0.88737,                0.99756,                      1,                  0.995,                 0.8522,                0.52824,                 0.1771,                0.31803,                0.87908,               0.003268,               0.003268,               0.003268
                     70,                0.75145,                0.53705,                0.45927,                 1.1192,                0.99767,                      1,                  0.995,                0.88326,                0.99767,                      1,                  0.995,                0.84966,                0.54957,                0.17765,                 0.3187,                0.89209,               0.003169,               0.003169,               0.003169
                     71,                0.76131,                0.54457,                0.46684,                 1.0965,                0.99754,                      1,                  0.995,                0.89919,                0.99754,                      1,                  0.995,                0.82934,                0.57619,                0.19825,                0.33464,                 0.9149,                0.00307,                0.00307,                0.00307
                     72,                 0.7469,                0.57006,                0.49141,                 1.0981,                0.99759,                      1,                  0.995,                0.88732,                0.99759,                      1,                  0.995,                0.84853,                0.53847,                0.18671,                0.30105,                0.89683,               0.002971,               0.002971,               0.002971
                     73,                0.77467,                0.50372,                0.48414,                 1.1048,                 0.9974,                      1,                  0.995,                0.88272,                 0.9974,                      1,                  0.995,                0.83989,                0.53382,                0.19085,                0.32577,                0.89673,               0.002872,               0.002872,               0.002872
                     74,                 0.7161,                0.39841,                0.44631,                 1.0594,                0.99677,                      1,                  0.995,                0.87202,                0.99677,                      1,                  0.995,                0.82177,                0.53046,                0.19376,                0.33107,                0.89664,               0.002773,               0.002773,               0.002773
                     75,                0.68376,                0.43232,                0.42892,                 1.0701,                0.99202,                      1,                  0.995,                0.88809,                0.99202,                      1,                  0.995,                0.82476,                0.53663,                0.18277,                0.33301,                0.89806,               0.002674,               0.002674,               0.002674
                     76,                0.68218,                0.31999,                0.42172,                 1.0482,                0.99373,                      1,                  0.995,                 0.9024,                0.99373,                      1,                  0.995,                0.84209,                0.52632,                0.18386,                0.32348,                    0.9,               0.002575,               0.002575,               0.002575
                     77,                0.66882,                0.48658,                0.41509,                  1.047,                 0.9964,                      1,                  0.995,                0.88585,                 0.9964,                      1,                  0.995,                0.83027,                0.52699,                0.17183,                0.29937,                0.89211,               0.002476,               0.002476,               0.002476
                     78,                0.68732,                0.38422,                0.43258,                 1.0598,                0.99641,                      1,                  0.995,                0.88291,                0.99641,                      1,                  0.995,                0.83898,                0.50618,                0.17568,                0.30338,                0.88528,               0.002377,               0.002377,               0.002377
                     79,                0.73944,                0.54676,                0.45388,                 1.1006,                0.99579,                      1,                  0.995,                0.88619,                0.99579,                      1,                  0.995,                0.84451,                0.52139,                0.18683,                0.31758,                0.89108,               0.002278,               0.002278,               0.002278
                     80,                0.69381,                0.41084,                0.44731,                 1.0495,                0.99658,                      1,                  0.995,                0.88571,                0.99658,                      1,                  0.995,                0.86504,                0.51756,                0.19137,                0.29862,                   0.89,               0.002179,               0.002179,               0.002179
                     81,                0.70914,                0.64007,                0.44452,                 1.0909,                0.99574,                      1,                  0.995,                0.88673,                0.99574,                      1,                  0.995,                0.85252,                0.50285,                0.18452,                0.29141,                0.87954,                0.00208,                0.00208,                0.00208
                     82,                0.67748,                 0.7195,                0.40576,                 1.0679,                0.99625,                      1,                  0.995,                0.89737,                0.99625,                      1,                  0.995,                0.84407,                0.50519,                0.18365,                0.29361,                0.88309,               0.001981,               0.001981,               0.001981
                     83,                0.68243,                0.54071,                0.42491,                 1.0611,                0.99638,                      1,                  0.995,                0.89162,                0.99638,                      1,                  0.995,                0.85743,                0.49749,                0.18682,                0.29267,                0.88764,               0.001882,               0.001882,               0.001882
                     84,                0.68092,                0.55752,                0.42584,                 1.0696,                0.99733,                      1,                  0.995,                0.89657,                0.99733,                      1,                  0.995,                0.85095,                0.51283,                0.18486,                0.29801,                0.89682,               0.001783,               0.001783,               0.001783
                     85,                0.68536,                0.42323,                0.43765,                 1.0632,                0.99766,                      1,                  0.995,                0.87782,                0.99766,                      1,                  0.995,                0.82372,                0.51425,                 0.1801,                0.28314,                0.90481,               0.001684,               0.001684,               0.001684
                     86,                0.68109,                 0.4671,                0.41503,                 1.0573,                0.99772,                      1,                  0.995,                0.88604,                0.99772,                      1,                  0.995,                0.81554,                0.50779,                0.17679,                0.28926,                0.89752,               0.001585,               0.001585,               0.001585
                     87,                0.71038,                0.62701,                0.45614,                 1.0893,                0.99772,                      1,                  0.995,                0.88566,                0.99772,                      1,                  0.995,                0.81571,                0.51534,                0.17056,                0.28674,                0.89384,               0.001486,               0.001486,               0.001486
                     88,                0.68527,                0.58535,                0.42321,                 1.0915,                0.99767,                      1,                  0.995,                0.88361,                0.99767,                      1,                  0.995,                0.80117,                 0.5069,                0.16298,                0.28142,                0.88387,               0.001387,               0.001387,               0.001387
                     89,                0.68147,                0.44846,                0.40147,                 1.0463,                0.95785,                      1,                 0.9902,                0.90876,                0.95785,                      1,                 0.9902,                0.85392,                0.47879,                 0.1652,                0.28548,                0.87539,               0.001288,               0.001288,               0.001288
                     90,                0.68971,                0.61531,                0.41916,                 1.0915,                 0.9579,                      1,                 0.9934,                0.90947,                 0.9579,                      1,                 0.9934,                0.87204,                0.47796,                0.16619,                0.28675,                0.87657,               0.001189,               0.001189,               0.001189
                     91,                0.59796,                0.42845,                   0.37,                 1.0208,                0.95783,                      1,                 0.9934,                0.90237,                0.95783,                      1,                 0.9934,                0.86426,                0.47764,                 0.1664,                0.27423,                0.87505,                0.00109,                0.00109,                0.00109
                     92,                0.68434,                0.68989,                 0.4205,                 1.0767,                0.95786,                      1,                 0.9934,                0.91049,                0.95786,                      1,                 0.9934,                0.86794,                0.47567,                0.16978,                0.26785,                0.87315,               0.000991,               0.000991,               0.000991
                     93,                0.63289,                0.50058,                0.41857,                 1.0507,                0.95789,                      1,                 0.9934,                0.91781,                0.95789,                      1,                 0.9934,                0.85815,                 0.4656,                0.17414,                0.25725,                0.86623,               0.000892,               0.000892,               0.000892
                     94,                 0.6732,                0.41682,                0.41063,                 1.0494,                0.95784,                      1,                 0.9934,                0.91701,                0.95784,                      1,                 0.9934,                  0.864,                0.46386,                0.17682,                0.25893,                 0.8653,               0.000793,               0.000793,               0.000793
                     95,                0.65356,                 0.4199,                0.40281,                 1.0674,                 0.9579,                      1,                 0.9934,                   0.91,                 0.9579,                      1,                 0.9934,                0.87081,                0.44597,                0.17846,                0.25566,                0.86024,               0.000694,               0.000694,               0.000694
                     96,                0.62041,                0.50843,                0.41289,                 1.0353,                0.99772,                      1,                  0.995,                0.91523,                0.99772,                      1,                  0.995,                0.86618,                0.45007,                 0.1816,                0.25362,                0.86224,               0.000595,               0.000595,               0.000595
                     97,                0.58519,                0.36044,                0.36921,                 1.0141,                0.99772,                      1,                  0.995,                 0.9147,                0.99772,                      1,                  0.995,                0.85122,                0.45656,                0.18056,                0.25488,                0.86567,               0.000496,               0.000496,               0.000496
                     98,                0.62595,                0.43251,                0.38244,                 1.0128,                 0.9977,                      1,                  0.995,                0.91189,                 0.9977,                      1,                  0.995,                0.86084,                0.45696,                0.17955,                0.25558,                 0.8661,               0.000397,               0.000397,               0.000397
                     99,                0.62586,                0.38168,                0.39004,                 1.0525,                0.99771,                      1,                  0.995,                 0.9115,                0.99771,                      1,                  0.995,                0.86525,                0.46077,                0.17981,                0.25449,                0.86772,               0.000298,               0.000298,               0.000298
